run_id,channels,run_number,experiment,wall,radius_px,BIoU_Ashlar,BIoU_Polygonal,BIoU_Quarry,BIoU_mean_stones
4ch_run4,4,4,v2_yaw_correction-epsV1,wall2,15,0.38408991400318954,,0.035626213910045175,0.20985806395661735
4ch_run5,4,5,v2_yaw_correction-epsV1,wall2,5,0.15801486393765335,,0.04228369777553721,0.10014928085659527
4ch_run5,4,5,v2_yaw_correction-epsV1,wall2,15,0.4021092225259994,,0.09191124389898392,0.24701023321249166
7ch_run1,7,1,v2_yaw_correction-epsV1,wall2,5,0.18541717409910616,,0.013106210866098861,0.09926169248260251
7ch_run1,7,1,v2_yaw_correction-epsV1,wall2,15,0.4537685934772396,,0.04286332581073979,0.24831595964398967
7ch_run2,7,2,v2_yaw_correction-epsV1,wall2,5,0.17467890935161737,,0.0036679749110516083,0.08917344213133449
7ch_run2,7,2,v2_yaw_correction-epsV1,wall2,15,0.41747745363646427,,0.012500178983089678,0.21498881630977698
7ch_run3,7,3,v2_yaw_correction-epsV1,wall2,5,0.1827878342842328,,0.013863685853233651,0.09832576006873323
7ch_run3,7,3,v2_yaw_correction-epsV1,wall2,15,0.4388252421122507,,0.03340481570501288,0.23611502890863179
7ch_run4,7,4,v2_yaw_correction-epsV1,wall2,5,0.1774806589234318,,0.014454357735613823,0.0959675083295228
7ch_run4,7,4,v2_yaw_correction-epsV1,wall2,15,0.4210377652727056,,0.02791793818170831,0.22447785172720694
7ch_run5,7,5,v2_yaw_correction-epsV1,wall2,5,0.17441895519458378,,0.02792646851669249,0.10117271185563814
7ch_run5,7,5,v2_yaw_correction-epsV1,wall2,15,0.44237266927006064,,0.07523749390121402,0.2588050815856373
3ch_run1,3,1,v2_yaw_correction-epsV1,wall3,5,,0.31892704652855103,0.17216607957498412,0.24554656305176759
3ch_run1,3,1,v2_yaw_correction-epsV1,wall3,15,,0.5710176007531972,0.28748539033741494,0.42925149554530606
3ch_run2,3,2,v2_yaw_correction-epsV1,wall3,5,,0.3365179363651839,0.15692238247748425,0.24672015942133407
3ch_run2,3,2,v2_yaw_correction-epsV1,wall3,15,,0.6017631775629819,0.2414826459679202,0.4216229117654511
3ch_run3,3,3,v2_yaw_correction-epsV1,wall3,5,,0.34326205215629707,0.17715260814175013,0.2602073301490236
3ch_run3,3,3,v2_yaw_correction-epsV1,wall3,15,,0.6045577507412224,0.2776728104326046,0.4411152805869135
3ch_run4,3,4,v2_yaw_correction-epsV1,wall3,5,,0.33470278293135436,0.184217999126256,0.2594603910288052
3ch_run4,3,4,v2_yaw_correction-epsV1,wall3,15,,0.5876324759426791,0.29609177198703857,0.4418621239648588
3ch_run5,3,5,v2_yaw_correction-epsV1,wall3,5,,0.30036543489903283,0.15805057379899648,0.22920800434901467
3ch_run5,3,5,v2_yaw_correction-epsV1,wall3,15,,0.5692071300673478,0.2634499007229648,0.4163285153951563
4ch_run1,4,1,v2_yaw_correction-epsV1,wall3,5,,0.33313740363431965,0.22095763723150358,0.2770475204329116
4ch_run1,4,1,v2_yaw_correction-epsV1,wall3,15,,0.5269669786343398,0.3404413892908828,0.43370418396261134
4ch_run2,4,2,v2_yaw_correction-epsV1,wall3,5,,0.3197438903038826,0.17954397060517993,0.24964393045453126
4ch_run2,4,2,v2_yaw_correction-epsV1,wall3,15,,0.5001467637511455,0.25833534919670303,0.37924105647392425
4ch_run3,4,3,v2_yaw_correction-epsV1,wall3,5,,0.3772128503580324,0.14203946906383874,0.2596261597109356
4ch_run3,4,3,v2_yaw_correction-epsV1,wall3,15,,0.5897241579463969,0.1976484056631517,0.3936862818047743
4ch_run4,4,4,v2_yaw_correction-epsV1,wall3,5,,0.3527435153345251,0.18675633055740185,0.26974992294596345
4ch_run4,4,4,v2_yaw_correction-epsV1,wall3,15,,0.5460537698659002,0.26478266704078274,0.4054182184533415
4ch_run5,4,5,v2_yaw_correction-epsV1,wall3,5,,0.33144447103877456,0.17378492105364748,0.252614696046211
4ch_run5,4,5,v2_yaw_correction-epsV1,wall3,15,,0.5237907473125147,0.2514487557744525,0.3876197515434836
7ch_run1,7,1,v2_yaw_correction-epsV1,wall3,5,,0.41889203482425724,0.24638214518905444,0.33263709000665587
7ch_run1,7,1,v2_yaw_correction-epsV1,wall3,15,,0.6513128521935676,0.35009204382183906,0.5007024480077034
7ch_run2,7,2,v2_yaw_correction-epsV1,wall3,5,,0.42940332171416856,0.20467806891564813,0.31704069531490836
7ch_run2,7,2,v2_yaw_correction-epsV1,wall3,15,,0.6562884718030401,0.29291316820265517,0.47460082000284765
7ch_run3,7,3,v2_yaw_correction-epsV1,wall3,5,,0.441663257217378,0.2696011540410932,0.3556322056292356
7ch_run3,7,3,v2_yaw_correction-epsV1,wall3,15,,0.6766747889445104,0.39168517930815616,0.5341799841263333
7ch_run4,7,4,v2_yaw_correction-epsV1,wall3,5,,0.42978787954610853,0.3082256987368032,0.3690067891414559
7ch_run4,7,4,v2_yaw_correction-epsV1,wall3,15,,0.6640884309026084,0.437881029072259,0.5509847299874338
7ch_run5,7,5,v2_yaw_correction-epsV1,wall3,5,,0.412692068984973,0.2588203669272642,0.3357562179561186
7ch_run5,7,5,v2_yaw_correction-epsV1,wall3,15,,0.6351164682952675,0.36041090436677564,0.4977636863310215
3ch_run1,3,1,v2_yaw_correction-epsV1,wall4,5,0.19990365788744627,0.001638883012915959,0.041099485026404696,0.0808806753089223
3ch_run1,3,1,v2_yaw_correction-epsV1,wall4,15,0.44132492363941117,0.0029508105683949425,0.07266950971693523,0.17231508130824713
3ch_run2,3,2,v2_yaw_correction-epsV1,wall4,5,0.18463779707495429,0.0017464725316424848,0.03394530223869706,0.07344319061509795
3ch_run2,3,2,v2_yaw_correction-epsV1,wall4,15,0.39057458510562465,0.004000887545244005,0.06611971791881836,0.15356506352322902
3ch_run3,3,3,v2_yaw_correction-epsV1,wall4,5,0.2200143949308079,0.0016509614974630112,0.021004043367803343,0.08088979993202476
3ch_run3,3,3,v2_yaw_correction-epsV1,wall4,15,0.4529279246131079,0.0046629503709533894,0.04192262449353026,0.16650449982586382
3ch_run4,3,4,v2_yaw_correction-epsV1,wall4,5,0.1968704936233729,0.0019172935989644668,0.03127601809954751,0.07668793510729495
3ch_run4,3,4,v2_yaw_correction-epsV1,wall4,15,0.4111238286379336,0.003988973185611099,0.05970199739543694,0.15827159973966054
3ch_run5,3,5,v2_yaw_correction-epsV1,wall4,5,0.1967380733766226,0.0018398805186024666,0.02291754756871036,0.07383183382131181
3ch_run5,3,5,v2_yaw_correction-epsV1,wall4,15,0.41566362759887565,0.003817993615902797,0.043710905117190446,0.15439750877732297
4ch_run1,4,1,v2_yaw_correction-epsV1,wall4,5,0.27756619119209025,0.01628585904890583,0.04614062416071333,0.11333089146723647
4ch_run1,4,1,v2_yaw_correction-epsV1,wall4,15,0.559724319544778,0.0583272382639869,0.08420298507462687,0.23408484762779724
4ch_run2,4,2,v2_yaw_correction-epsV1,wall4,5,0.2571707236891761,0.017659044600407518,0.022059973924380704,0.09896324740465477
4ch_run2,4,2,v2_yaw_correction-epsV1,wall4,15,0.5431629039810014,0.08075415032952366,0.05445033547600056,0.2261224632621752
4ch_run3,4,3,v2_yaw_correction-epsV1,wall4,5,0.2506584654726822,0.019153854145023894,0.03399749821300929,0.10126993927690514
4ch_run3,4,3,v2_yaw_correction-epsV1,wall4,15,0.5343653396505951,0.049763117798304925,0.0699307838373114,0.2180197470954038
4ch_run4,4,4,v2_yaw_correction-epsV1,wall4,5,0.23820432485338047,0.008484687790003977,0.03942242767360931,0.09537048010566458
4ch_run4,4,4,v2_yaw_correction-epsV1,wall4,15,0.5140126944412763,0.029175227887337868,0.07089317665264278,0.20469369966041895
4ch_run5,4,5,v2_yaw_correction-epsV1,wall4,5,0.2910596035112663,0.023233357717629848,0.02288857345635202,0.11239384489508274
4ch_run5,4,5,v2_yaw_correction-epsV1,wall4,15,0.5769618222123769,0.0825970083986058,0.047879914563721225,0.23581291505823465
7ch_run1,7,1,v2_yaw_correction-epsV1,wall4,5,0.2818625437248065,0.00643726762411606,0.042800051566327185,0.11036662097174992
