run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,condition,family,level
4ch_run5,4,5,base,42,v6_stress_gamma080,wall1,0.9251156697854274,0.6878972265234194,0.3538022117520689,0.6556050360203053,0.9611013865868542,0.8150937340424321,0.5226793229923651,0.7662914812072171,gamma080,gamma,0.8
4ch_run5,4,5,base,42,v6_stress_gamma080,wall2,0.944663820870397,,0.0623192077869977,0.5034915143286974,0.971544603989786,,0.1173267080745341,0.5444356560321602,gamma080,gamma,0.8
4ch_run5,4,5,base,42,v6_stress_gamma080,wall3,,0.6144060106450477,0.1919588249684789,0.4031824178067633,,0.7611542655240207,0.3220896912669029,0.5416219783954618,gamma080,gamma,0.8
4ch_run5,4,5,base,42,v6_stress_gamma080,wall4,0.956057319543262,0.0857821382032445,0.0500351074287319,0.3639581883917461,0.97753507526712,0.1580098533306083,0.0953017800542976,0.4102822362173421,gamma080,gamma,0.8
4ch_run5,4,5,base,42,v6_stress_gamma080,AllWalls,0.9419456033996956,0.4626951251239039,0.1645288379840694,0.5230565221692229,,,,0.5656578379630453,gamma080,gamma,0.8
7ch_run1,7,1,base,42,v6_stress_gamma080,wall1,0.9348783383725724,0.7623649394049583,0.5674989219695498,0.75491406658236,0.9663432783674648,0.8651612641163433,0.7240820571110721,0.8518621998649601,gamma080,gamma,0.8
7ch_run1,7,1,base,42,v6_stress_gamma080,wall2,0.9526467170190654,,0.0045368959024477,0.4785918064607566,0.975749180551603,,0.0090328108822164,0.4923909957169097,gamma080,gamma,0.8
7ch_run1,7,1,base,42,v6_stress_gamma080,wall3,,0.8455149649958198,0.305630297061948,0.5755726310288839,,0.9162916378710968,0.4681728016724275,0.6922322197717622,gamma080,gamma,0.8
7ch_run1,7,1,base,42,v6_stress_gamma080,wall4,0.896050833932715,0.0297236690503623,0.1188265170753894,0.3482003400194889,0.9451759603661692,0.0577313505433438,0.2124127650924859,0.4051066920006663,gamma080,gamma,0.8
7ch_run1,7,1,base,42,v6_stress_gamma080,AllWalls,0.9278586297747844,0.5458678578170468,0.2491231580023337,0.5742832151980549,,,,0.6103980268385747,gamma080,gamma,0.8
7ch_run2,7,2,base,42,v6_stress_gamma080,wall1,0.875248474578696,0.7045240192288873,0.583948192314595,0.7212402287073928,0.93347466903055,0.8266519113618689,0.7373324394673314,0.8324863399532502,gamma080,gamma,0.8
7ch_run2,7,2,base,42,v6_stress_gamma080,wall2,0.934101096156746,,0.016051725982957,0.4750764110698514,0.965927890752866,,0.0315962771824989,0.4987620839676825,gamma080,gamma,0.8
7ch_run2,7,2,base,42,v6_stress_gamma080,wall3,,0.856418274160665,0.2943281856715179,0.5753732299160914,,0.9226565866982472,0.4547968419907595,0.6887267143445033,gamma080,gamma,0.8
7ch_run2,7,2,base,42,v6_stress_gamma080,wall4,0.8522646497734132,0.0295266690624963,0.0544723465594416,0.3120878884651171,0.9202406900954142,0.0573596973245653,0.1033167853802431,0.3603057242667409,gamma080,gamma,0.8
7ch_run2,7,2,base,42,v6_stress_gamma080,AllWalls,0.8872047401696183,0.5301563208173495,0.2372001126321279,0.5515203912063652,,,,0.5950702156330443,gamma080,gamma,0.8
7ch_run3,7,3,base,42,v6_stress_gamma080,wall1,0.8796615670704366,0.6712026503260936,0.5724624106482623,0.7077755426815976,0.9359786702895044,0.803257043896053,0.728109501087863,0.8224484050911401,gamma080,gamma,0.8
