experiment,run_id,channels,run_number,wall,kernel_radius,gap_iou,gap_precision,gap_recall,gap_f1,gap_tp,gap_fp,gap_fn,gt_gap_pixels,pred_gap_pixels,gap_ratio,n_stones,mean_coverage,mean_separation,mean_wrong_class_coverage,detected_c90_s90,merged_c90_s90,undetected_c90_s90,detection_rate_c90_s90,merge_rate_c90_s90,detected_c70_s70,merged_c70_s70,undetected_c70_s70,detection_rate_c70_s70,merge_rate_c70_s70,detected_c50_s50,merged_c50_s50,undetected_c50_s50,detection_rate_c50_s50,merge_rate_c50_s50,Ashlar_n,Ashlar_detection_rate_c90_s90,Ashlar_merge_rate_c90_s90,Ashlar_mean_coverage,Ashlar_mean_separation,Polygonal_n,Polygonal_detection_rate_c90_s90,Polygonal_merge_rate_c90_s90,Polygonal_mean_coverage,Polygonal_mean_separation,Quarry_n,Quarry_detection_rate_c90_s90,Quarry_merge_rate_c90_s90,Quarry_mean_coverage,Quarry_mean_separation
v2_yaw_correction-epsV1,3ch_run3,3,3,wall1,45,0.43487873948781514,0.6409967893899841,0.5749038276088396,0.6061539940901858,384525,215361,284326,668851,599886,0.8968903388049058,179,0.7769521618564079,0.6233279117049767,0.08552720680627335,50,56,73,0.27932960893854747,0.3128491620111732,84,52,43,0.4692737430167598,0.2905027932960894,98,48,33,0.547486033519553,0.2681564245810056,83.0,0.3614457831325301,0.39759036144578314,0.8848914035976368,0.5882673866827578,46.0,0.3695652173913043,0.30434782608695654,0.8222643083512046,0.5921598373255651,50,0.06,0.18,0.5560858457907552,0.7302660716773636
v2_yaw_correction-epsV1,3ch_run3,3,3,wall2,45,0.42087605134121375,0.7132477925178163,0.5065960955141745,0.5924176861787971,1771179,712080,1725056,3496235,2483259,0.7102666153733945,105,0.9064470338324795,0.3054153629975792,0.05396817461725534,20,75,10,0.19047619047619047,0.7142857142857143,20,77,8,0.19047619047619047,0.7333333333333333,20,77,8,0.19047619047619047,0.7333333333333333,97.0,0.20618556701030927,0.7731958762886598,0.9812055520867046,0.3054153629975792,,,,,,8,0.0,0.0,0.0,0.0
v2_yaw_correction-epsV1,3ch_run3,3,3,wall3,45,0.5139234879564376,0.6194924392786896,0.7509817772400895,0.6789292748871408,277475,170432,92008,369483,447907,1.2122533377719678,202,0.7039275378801473,0.8313658608305302,0.1197359898591093,94,31,77,0.46534653465346537,0.15346534653465346,124,18,60,0.6138613861386139,0.0891089108910891,138,10,54,0.6831683168316832,0.04950495049504951,,,,,,151.0,0.5827814569536424,0.16556291390728478,0.8050229170540425,0.8356646623397735,51,0.11764705882352941,0.11764705882352941,0.4046059250319481,0.8097183246589829
v2_yaw_correction-epsV1,3ch_run3,3,3,wall4,45,0.4033643253637687,0.4902149204869891,0.6948175441272736,0.574853326500532,828975,862069,364108,1193083,1691044,1.4173733093171221,177,0.7784470716101349,0.7790403378620395,0.1545925261242209,73,26,78,0.4124293785310734,0.14689265536723164,100,27,50,0.5649717514124294,0.15254237288135594,128,23,26,0.7231638418079096,0.12994350282485875,168.0,0.43452380952380953,0.15476190476190477,0.80843863596688,0.774826636100126,1.0,0.0,0.0,0.5585874799357945,0.9398227155993704,8,0.0,0.0,0.176106669077781,0.9586043761088113
v2_yaw_correction-epsV1,3ch_run3,3,3,AllWalls,45,0.4243400470940583,0.6246828859523073,0.5695447279269061,0.5958409271154003,3262154,1959942,2465498,5727652,5222096,0.911734162620215,663,0.77561066342608,0.6743926026242165,0.10939000818802701,237,188,238,0.3574660633484163,0.28355957767722473,328,174,161,0.4947209653092006,0.26244343891402716,384,158,121,0.579185520361991,0.2383107088989442,348.0,0.35344827586206895,0.3850574712643678,0.8748293560156611,0.598505615974992,198.0,0.5303030303030303,0.19696969696969696,0.8077838693901597,0.777624239492823,117,0.07692307692307693,0.1282051282051282,0.4260516907588834,0.7712474519136973
v2_yaw_correction-epsV1,3ch_run4,3,4,wall1,45,0.40042993733891974,0.5811839535619727,0.5628443405182918,0.5718671483127702,376459,271286,292392,668851,647745,0.9684443919497766,179,0.7830134288664578,0.6283219458375345,0.07824657482841343,40,65,74,0.22346368715083798,0.36312849162011174,82,54,43,0.4581005586592179,0.3016759776536313,103,47,29,0.5754189944134078,0.26256983240223464,83.0,0.2891566265060241,0.3855421686746988,0.8424145099824624,0.6449335354535761,46.0,0.2826086956521739,0.41304347826086957,0.8473515506195761,0.5916367688456418,50,0.06,0.28,0.6252165622010213,0.6353629852550895
v2_yaw_correction-epsV1,3ch_run4,3,4,wall2,45,0.40602349031278084,0.7442058525411519,0.471876747415434,0.577548658482879,1649792,567057,1846443,3496235,2216849,0.6340675040436355,105,0.9068081040428692,0.2610519252750234,0.06123906614902585,14,78,13,0.13333333333333333,0.7428571428571429,15,82,8,0.14285714285714285,0.780952380952381,17,80,8,0.1619047619047619,0.7619047619047619,97.0,0.14432989690721648,0.8041237113402062,0.9815964012835182,0.2610519252750234,,,,,,8,0.0,0.0,0.0,0.0
v2_yaw_correction-epsV1,3ch_run4,3,4,wall3,45,0.47454693545102833,0.5598832425419973,0.7568954457985888,0.643651177242284,279660,219837,89823,369483,499497,1.3518808713797388,202,0.7091289503572313,0.8508100283418479,0.10263816619046974,100,22,80,0.49504950495049505,0.10891089108910891,125,16,61,0.6188118811881188,0.07920792079207921,140,10,52,0.693069306930693,0.04950495049504951,,,,,,151.0,0.609271523178808,0.11258278145695365,0.7893027850516321,0.8558616493064432,51,0.1568627450980392,0.09803921568627451,0.47175151822282946,0.828393460311457
v2_yaw_correction-epsV1,3ch_run4,3,4,wall4,45,0.391756947260684,0.4802381027063528,0.680132061222899,0.5629674750778243,811454,878237,381629,1193083,1689691,1.4162392725401334,177,0.7478386873011067,0.7255962322682741,0.17622823081631225,55,27,95,0.3107344632768362,0.15254237288135594,90,35,52,0.5084745762711864,0.1977401129943503,111,34,32,0.6271186440677966,0.192090395480226,168.0,0.3273809523809524,0.16071428571428573,0.7745107405142809,0.7218417813302517,1.0,0.0,0.0,0.5661522813597571,0.9946552235038467,8,0.0,0.0,0.21043637056711983,0.8424047034476517
v2_yaw_correction-epsV1,3ch_run4,3,4,AllWalls,45,0.4067506438159677,0.6168380432713559,0.5442657829072017,0.578283927722416,3117365,1936417,2610287,5727652,5053782,0.8823479499103647,663,0.7707175721207448,0.6604388681532943,0.10914260220949602,209,192,262,0.3152337858220211,0.2895927601809955,312,187,164,0.47058823529411764,0.28205128205128205,371,171,121,0.5595776772247361,0.2579185520361991,348.0,0.2672413793103448,0.3936781609195402,0.8484283323547265,0.5735769784254711,198.0,0.5303030303030303,0.18181818181818182,0.8016618391548317,0.7933545958674078,117,0.09401709401709402,0.1623931623931624,0.4872106538799344,0.7248116741548455
