run_id,channels,run_number,width_mult,seed,experiment,wall,IoU_Ashlar,IoU_Polygonal,IoU_Quarry,IoU_mean_stones,F1_Ashlar,F1_Polygonal,F1_Quarry,macro_F1,condition,family,level
4ch_run4,4,4,base,42,v6_stress_shadow050,wall1,0.8750628467041147,0.4638560376123063,0.231151109167528,0.5233566644946497,0.9333690849266768,0.6337454308265194,0.3755040424303826,0.6475395193945263,shadow050,shadow,0.5
4ch_run4,4,4,base,42,v6_stress_shadow050,wall2,0.887099968996096,,0.0365190396680013,0.4618095043320487,0.9401727344291332,,0.0704647734781571,0.5053187539536452,shadow050,shadow,0.5
4ch_run4,4,4,base,42,v6_stress_shadow050,wall3,,0.8002322947387959,0.2538140952538928,0.5270231949963444,,0.8890322622002571,0.404867190781575,0.6469497264909161,shadow050,shadow,0.5
4ch_run4,4,4,base,42,v6_stress_shadow050,wall4,0.9196583304613144,0.1170882262786838,0.066162174259697,0.367636243666565,0.9581479327525024,0.2096311169060221,0.1241127773185867,0.4306306089923705,shadow050,shadow,0.5
4ch_run4,4,4,base,42,v6_stress_shadow050,AllWalls,0.8939403820538416,0.4603921862099287,0.1469116045872798,0.5004147242836834,,,,0.5576096522078645,shadow050,shadow,0.5
4ch_run5,4,5,base,42,v6_stress_shadow050,wall1,0.8778471585249824,0.5216498302385044,0.2489597100731822,0.5494855662788897,0.9349505943971678,0.6856371549776872,0.3986673197946386,0.6730850230564979,shadow050,shadow,0.5
4ch_run5,4,5,base,42,v6_stress_shadow050,wall2,0.9035191878715164,,0.0691427293610619,0.4863309586162893,0.9493145050792124,,0.1293423739642,0.5393284395217062,shadow050,shadow,0.5
4ch_run5,4,5,base,42,v6_stress_shadow050,wall3,,0.7818151959737333,0.2818956527051144,0.5318554243394238,,0.8775491394846746,0.4398106072210251,0.6586798733528498,shadow050,shadow,0.5
4ch_run5,4,5,base,42,v6_stress_shadow050,wall4,0.9403724672173516,0.1401223212967929,0.0523937422828702,0.3776295102656715,0.9692700583057854,0.2458022594232093,0.0995706078016329,0.4382143085102092,shadow050,shadow,0.5
4ch_run5,4,5,base,42,v6_stress_shadow050,AllWalls,0.9072462712046168,0.4811957825030102,0.1630979586055572,0.5171800041043947,,,,0.5773269111103158,shadow050,shadow,0.5
7ch_run1,7,1,base,42,v6_stress_shadow050,wall1,0.867638618392529,0.6009977536510581,0.4824368637011348,0.6503577452482406,0.9291290186956008,0.7507790092528103,0.6508700309794725,0.7769260196426279,shadow050,shadow,0.5
7ch_run1,7,1,base,42,v6_stress_shadow050,wall2,0.8899403956571837,,0.0560452891225232,0.4729928423898535,0.9417655685884498,,0.1061418287639761,0.523953698676213,shadow050,shadow,0.5
7ch_run1,7,1,base,42,v6_stress_shadow050,wall3,,0.8170137287303021,0.3176599582078642,0.5673368434690832,,0.8992928515748939,0.4821577163806514,0.6907252839777727,shadow050,shadow,0.5
7ch_run1,7,1,base,42,v6_stress_shadow050,wall4,0.9364636574699076,0.036370401551483,0.0858225653073782,0.3528855414429229,0.9671894991238276,0.0701880360477977,0.1580784338978685,0.3984853230231646,shadow050,shadow,0.5
7ch_run1,7,1,base,42,v6_stress_shadow050,AllWalls,0.8980142238398735,0.4847939613109477,0.2354911690847251,0.5394331180785155,,,,0.5975225813299445,shadow050,shadow,0.5
7ch_run2,7,2,base,42,v6_stress_shadow050,wall1,0.835280733547001,0.5911125765710825,0.5667700553336146,0.6643877884838995,0.9102484631140598,0.7430179174938786,0.7234884958443139,0.792251625484084,shadow050,shadow,0.5
7ch_run2,7,2,base,42,v6_stress_shadow050,wall2,0.806011470583789,,0.0383093351112449,0.4221604028475169,0.8925873215226564,,0.0737917570723573,0.4831895392975068,shadow050,shadow,0.5
7ch_run2,7,2,base,42,v6_stress_shadow050,wall3,,0.8245512263267025,0.2706106447999779,0.5475809355633402,,0.903840039598931,0.4259536875556051,0.6648968635772681,shadow050,shadow,0.5
7ch_run2,7,2,base,42,v6_stress_shadow050,wall4,0.909848253927658,0.0486751491925589,0.0016195011936323,0.320047634771283,0.9527963827037343,0.0928317014664397,0.0032337653005006,0.3496206164902249,shadow050,shadow,0.5
7ch_run2,7,2,base,42,v6_stress_shadow050,AllWalls,0.8503801526861493,0.4881129840301146,0.2193273841096174,0.5192735069419605,,,,0.572489661212271,shadow050,shadow,0.5
7ch_run3,7,3,base,42,v6_stress_shadow050,wall1,0.8660205199800329,0.6060231875459318,0.5178849837409238,0.6633095637556295,0.9282004251371252,0.7546879674532715,0.6823771093176816,0.7884218339693594,shadow050,shadow,0.5
7ch_run3,7,3,base,42,v6_stress_shadow050,wall2,0.8203933061759965,,0.0050485035408446,0.4127209048584205,0.9013363248399908,,0.0100462883593348,0.4556913065996628,shadow050,shadow,0.5
7ch_run3,7,3,base,42,v6_stress_shadow050,wall3,,0.8440078010561942,0.3769516874552253,0.6104797442557097,,0.9154058899021696,0.5475162140973558,0.7314610519997627,shadow050,shadow,0.5
7ch_run3,7,3,base,42,v6_stress_shadow050,wall4,0.9163316511295164,0.0608539895113783,0.0736025018149327,0.3502627141519425,0.9563393169333876,0.1147264187400704,0.137113133940182,0.4027262898712134,shadow050,shadow,0.5
7ch_run3,7,3,base,42,v6_stress_shadow050,AllWalls,0.8675818257618486,0.5036283260378348,0.2433719191379816,0.5381940236458883,,,,0.5945751206099996,shadow050,shadow,0.5
